date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:25	23/23	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Apr%202019%2010:14:53%20GMT	http://192.168.0.251:7001/robots.txt		(from )
18:14:25	11765/11765	---M--	200	added ('OK')	text/html	etag:W/%222df5-169e7c54110%22	http://192.168.0.251:7001/	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/index.html	(from )
18:14:25	652/652	---M--	200	added ('OK')	text/css	etag:W/%2228c-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/prettify/prettify-min.css	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/prettify/prettify-min.css	(from http://192.168.0.251:7001/)
18:14:25	11263/11263	---M--	200	added ('OK')	text/css	etag:W/%222bff-169e7c54110%22	http://192.168.0.251:7001/assets/css/main.css	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/css/main.css	(from http://192.168.0.251:7001/)
18:14:25	109518/109518	---M--	200	added ('OK')	text/css	etag:W/%221abce-169e7c54110%22	http://192.168.0.251:7001/assets/vendor/bootstrap/css/bootstrap.min.css	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/vendor/bootstrap/css/bootstrap.min.css	(from http://192.168.0.251:7001/)
18:14:27	1353/1353	---M--	200	added ('OK')	image/png	etag:W/%22549-169e7c54110%22	http://192.168.0.251:7001/assets/favicon.png	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/favicon.png	(from http://192.168.0.251:7001/)
18:14:27	13943/13943	---M--	200	added ('OK')	image/png	etag:W/%223677-169e7c54110%22	http://192.168.0.251:7001/assets/css/logo.png	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/assets/css/logo.png	(from http://192.168.0.251:7001/)
18:14:28	12367/12367	---M--	200	added ('OK')	text/html	etag:W/%22304f-169e7c54110%22	http://192.168.0.251:7001/modules/iiw.c.directives.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/modules/iiw.c.directives.html	(from http://192.168.0.251:7001/)
18:14:28	13797/13797	---M--	200	added ('OK')	text/html	etag:W/%2235e5-169e7c544f8%22	http://192.168.0.251:7001/classes/cPicker.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/cPicker.html	(from http://192.168.0.251:7001/)
18:14:28	14078/14078	---M--	200	added ('OK')	text/html	etag:W/%2236fe-169e7c54110%22	http://192.168.0.251:7001/modules/iiw.core.directives.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/modules/iiw.core.directives.html	(from http://192.168.0.251:7001/)
18:14:29	15329/15329	---M--	200	added ('OK')	text/html	etag:W/%223be1-169e7c544f8%22	http://192.168.0.251:7001/classes/iCopyText.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iCopyText.html	(from http://192.168.0.251:7001/)
18:14:29	13250/13250	---M--	200	added ('OK')	text/html	etag:W/%2233c2-169e7c544f8%22	http://192.168.0.251:7001/classes/iExit.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iExit.html	(from http://192.168.0.251:7001/)
18:14:30	13218/13218	---M--	200	added ('OK')	text/html	etag:W/%2233a2-169e7c544f8%22	http://192.168.0.251:7001/classes/iLogout.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iLogout.html	(from http://192.168.0.251:7001/)
18:14:30	13248/13248	---M--	200	added ('OK')	text/html	etag:W/%2233c0-169e7c544f8%22	http://192.168.0.251:7001/classes/iLang.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iLang.html	(from http://192.168.0.251:7001/)
18:14:31	13328/13328	---M--	200	added ('OK')	text/html	etag:W/%223410-169e7c544f8%22	http://192.168.0.251:7001/classes/iDomSelect.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iDomSelect.html	(from http://192.168.0.251:7001/)
18:14:32	13426/13426	---M--	200	added ('OK')	text/html	etag:W/%223472-169e7c544f8%22	http://192.168.0.251:7001/classes/iDrag.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iDrag.html	(from http://192.168.0.251:7001/)
18:14:32	17387/17387	---M--	200	added ('OK')	text/html	etag:W/%2243eb-169e7c544f8%22	http://192.168.0.251:7001/classes/iLogo.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iLogo.html	(from http://192.168.0.251:7001/)
18:14:32	13554/13554	---M--	200	added ('OK')	text/html	etag:W/%2234f2-169e7c544f8%22	http://192.168.0.251:7001/classes/iResize.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iResize.html	(from http://192.168.0.251:7001/)
18:14:33	15217/15217	---M--	200	added ('OK')	text/html	etag:W/%223b71-169e7c544f8%22	http://192.168.0.251:7001/classes/iScroll.html	F:/IOTIMC/iiw.api/iiw.api/192.168.0.251_7001/classes/iScroll.html	(from http://192.168.0.251:7001/)
